"","l1","l2","Training CC","Test CC","CC Pred. Error"
"2",0.1,0.05,1.63469,1.82997,0.195280612671009
"3",0.15,0.05,1.67119,1.77514,0.103954444775042
"4",0.2,0.05,1.69412,1.71374,0.0196185911998439
"5",0.25,0.05,1.71312,1.653,0.0601261612208175
"6",0.3,0.05,1.72813,1.58896,0.139160959976467
"8",0.1,0.1,1.64468,1.83286,0.188181698715902
"9",0.15,0.1,1.68057,1.77202,0.0914441355354179
"10",0.2,0.1,1.70195,1.7204,0.0184467997709676
"11",0.25,0.1,1.71921,1.65293,0.0662847823493464
"12",0.3,0.1,1.72426,1.61414,0.11012273631915
"14",0.1,0.15,1.75179,1.73489,0.0169038064133546
"15",0.15,0.15,1.78236,1.70037,0.0819965524139694
"16",0.2,0.15,1.79854,1.61726,0.18128196239091
"17",0.25,0.15,1.81297,1.58781,0.225165235976424
"18",0.3,0.15,1.82209,1.54095,0.28114330629377
"21",0.15,0.2,1.84096,1.61291,0.228041543079955
"22",0.2,0.2,1.86697,1.53364,0.33333566899651
"23",0.25,0.2,1.87607,1.50347,0.372602703228267
"24",0.3,0.2,1.88948,1.44153,0.447954118221715
"27",0.15,0.25,1.9028,1.50647,0.396329491520962
"28",0.2,0.25,1.91658,1.45826,0.458316043938872
"29",0.25,0.25,1.92802,1.42402,0.504007143449704
"30",0.3,0.25,1.93403,1.35867,0.575357829136081
"34",0.2,0.3,1.96148,1.40258,0.558896958042025
"35",0.25,0.3,1.97034,1.35474,0.615603919941584
"36",0.3,0.3,1.97331,1.29621,0.67710084150296
